Timestamp,Net_Worth
2024-10-30 18:14:19.545466,100585.04513470421
2024-10-30 18:14:19.545980,100728.13460103044
2024-10-30 18:14:19.548955,99554.2595271495
2024-10-30 18:14:19.548955,99962.20917957983
2024-10-30 18:14:19.549956,100004.04889258309
2024-10-30 18:14:19.550960,100371.20468649469
2024-10-30 18:14:19.550960,101742.53572697082
2024-10-30 18:14:19.552959,102090.9109244644
2024-10-30 18:14:19.552959,102196.99370300682
2024-10-30 18:14:19.553982,102576.89108830324
2024-10-30 18:14:19.554959,101265.88815575147
2024-10-30 18:14:19.555956,101257.8582059484
2024-10-30 18:14:19.555956,99484.96000299996
2024-10-30 18:14:19.556958,99501.01990260609
2024-10-30 18:14:19.556958,95487.41519092023
2024-10-30 18:14:19.557956,95300.68699311877
2024-10-30 18:14:19.557956,93889.18963944193
2024-10-30 18:14:19.558956,93798.84208253071
2024-10-30 18:14:19.559959,95836.77111548724
2024-10-30 18:14:19.559959,95519.5349901325
2024-10-30 18:14:19.560962,95714.29313773703
2024-10-30 18:14:19.561996,94477.47905715706
2024-10-30 18:14:19.561996,93616.12885963077
2024-10-30 18:14:19.563047,93045.91745059927
2024-10-30 18:14:19.563957,94609.9944721611
2024-10-30 18:14:19.566957,95712.28565028627
2024-10-30 18:14:19.566957,95613.90814357197
2024-10-30 18:14:19.567956,95427.17994577052
2024-10-30 18:14:19.568958,93907.26764812555
2024-10-30 18:14:19.568958,97095.66755802566
2024-10-30 18:14:19.570014,96894.88694806882
2024-10-30 18:14:19.570956,98121.65296976824
2024-10-30 18:14:19.571955,97354.67592568144
2024-10-30 18:14:19.572959,96370.84775040495
2024-10-30 18:14:19.572959,95933.14113475077
2024-10-30 18:14:19.573953,95332.80679233103
2024-10-30 18:14:19.574954,90582.32672669315
2024-10-30 18:14:19.574954,91714.74083820655
2024-10-30 18:14:19.575956,94750.53983696821
2024-10-30 18:14:19.578022,96316.63496760752
2024-10-30 18:14:19.579071,95503.47509052636
2024-10-30 18:14:19.579958,93385.23593791245
2024-10-30 18:14:19.580954,89931.80519800427
2024-10-30 18:14:19.581957,89769.166849612
2024-10-30 18:14:19.581957,94531.69183995448
2024-10-30 18:14:19.582953,96063.64906230404
2024-10-30 18:14:19.583957,96340.72481701673
2024-10-30 18:14:19.584960,97131.80233213944
2024-10-30 18:14:19.584960,94907.15572300817
2024-10-30 18:14:19.586041,96509.3856277613
2024-10-30 18:14:19.586041,99655.62830119529
2024-10-30 18:14:19.586951,99081.39129563553
2024-10-30 18:14:19.587958,101641.35203880517
2024-10-30 18:14:19.588956,101964.60000488548
2024-10-30 18:14:19.588956,103548.7625225817
2024-10-30 18:14:19.589954,104239.45504353938
2024-10-30 18:14:19.590953,105287.53343886712
2024-10-30 18:14:19.591952,105311.62328827631
2024-10-30 18:14:19.594052,107335.49990907748
2024-10-30 18:14:19.596076,105801.52457765043
2024-10-30 18:14:19.597073,106648.82236302135
2024-10-30 18:14:19.598072,106964.05100092532
2024-10-30 18:14:19.600075,105452.16865308343
2024-10-30 18:14:19.601081,105171.0779234692
2024-10-30 18:14:19.602105,103315.8621134126
2024-10-30 18:14:19.603075,105034.54753356363
2024-10-30 18:14:19.604074,104815.6995365499
2024-10-30 18:14:19.604074,102842.02072364461
2024-10-30 18:14:19.605075,102464.54935314016
2024-10-30 18:14:19.606074,102151.32820268694
2024-10-30 18:14:19.607075,106044.47304570008
2024-10-30 18:14:19.607075,109162.60027319663
2024-10-30 18:14:19.608077,111718.54604146472
2024-10-30 18:14:19.609077,110782.90818663336
2024-10-30 18:14:19.615171,108220.93995601295
2024-10-30 18:14:19.616725,111459.53767380894
2024-10-30 18:14:19.616725,111567.96323940379
2024-10-30 18:14:19.618723,113234.44336420816
2024-10-30 18:14:19.619724,112045.8196040733
2024-10-30 18:14:19.620724,111652.28833396272
2024-10-30 18:14:19.622725,108166.72717321554
2024-10-30 18:14:19.623724,106048.48802060161
2024-10-30 18:14:19.623724,105235.32814352046
2024-10-30 18:14:19.624727,101125.34279094436
2024-10-30 18:14:19.624727,99372.51946250358
2024-10-30 18:14:19.626137,98354.56400056406
2024-10-30 18:14:19.627724,96350.77287589728
2024-10-30 18:14:19.628730,97443.01599514189
2024-10-30 18:14:19.629724,97467.11646617782
2024-10-30 18:14:19.630726,101561.03129752105
2024-10-30 18:14:19.631728,101930.47271822245
2024-10-30 18:14:19.632725,99581.33002226347
2024-10-30 18:14:19.632725,105387.91843303217
2024-10-30 18:14:19.634166,104683.18412154586
2024-10-30 18:14:19.634724,105042.5774833667
2024-10-30 18:14:19.635723,104887.97970640422
2024-10-30 18:14:19.636723,103888.0916315216
2024-10-30 18:14:19.637725,103406.20967032382
2024-10-30 18:14:19.638723,107008.2263464689
2024-10-30 18:14:19.639722,105717.1994830915
2024-10-30 18:14:19.640728,105751.33739138127
2024-10-30 18:14:19.640728,109397.51879144322
2024-10-30 18:14:19.642164,111614.13545077141
2024-10-30 18:14:19.642164,111134.27159865113
2024-10-30 18:14:19.646724,111343.08215841104
2024-10-30 18:14:19.647723,109387.48135418938
2024-10-30 18:14:19.648729,112387.14557883724
2024-10-30 18:14:19.648729,108993.95008407878
2024-10-30 18:14:19.650194,106931.92058008633
2024-10-30 18:14:19.650733,105534.48626019158
2024-10-30 18:14:19.651720,104257.52243059628
2024-10-30 18:14:19.652719,102799.8528655518
2024-10-30 18:14:19.653723,104004.53652529279
2024-10-30 18:14:19.653723,102119.20840347468
2024-10-30 18:14:19.654723,103767.62114122216
2024-10-30 18:14:19.655722,100615.35600543585
