,poid,step,source,target,memo,amount,free,locked,locked_poid
0,e9fb17bf-8c4b-45e0-ad36-323809527be5,1,yfinance:INR/free,yfinance:INR/locked,LOCK (LOCK FOR ORDER),100000.00 INR,0.00 INR,100000.00 INR,100000.00 INR
1,e9fb17bf-8c4b-45e0-ad36-323809527be5,1,yfinance:INR/locked,yfinance,WITHDRAWAL (COMMISSION),300.00 INR,0.00 INR,99700.00 INR,99700.00 INR
2,e9fb17bf-8c4b-45e0-ad36-323809527be5,1,yfinance:INR/locked,yfinance,WITHDRAWAL (FILL ORDER),99700.00 INR,0.00 INR,0.00 INR,0.00 INR
3,e9fb17bf-8c4b-45e0-ad36-323809527be5,1,yfinance,yfinance:RELIANCE/locked,DEPOSIT (TRADED 99700.00 INR yfinance:INR/RELIANCE @ 2218.75),44.93521127 RELIANCE,0.00000000 RELIANCE,44.93521127 RELIANCE,44.93521127 RELIANCE
4,e9fb17bf-8c4b-45e0-ad36-323809527be5,1,yfinance:INR/locked,yfinance:INR/free,UNLOCK INR (COMPLETED),0.00 INR,0.00 INR,0.00 INR,0.00 INR
5,e9fb17bf-8c4b-45e0-ad36-323809527be5,1,yfinance:RELIANCE/locked,yfinance:RELIANCE/free,UNLOCK RELIANCE (COMPLETED),44.93521127 RELIANCE,44.93521127 RELIANCE,0.00000000 RELIANCE,0.00000000 RELIANCE
